name,type_1,type_2,ability,bst,pokedex_description,sprite_front,sprite_shiny,sprite_back,sprite_back_shiny
bulbasaur,grass,poison,overgrow,318,A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON.,https://img.pokemondb.net/sprites/black-white/normal/bulbasaur.png,https://img.pokemondb.net/sprites/black-white/shiny/bulbasaur.png,https://img.pokemondb.net/sprites/black-white/back-normal/bulbasaur.png,https://img.pokemondb.net/sprites/black-white/back-shiny/bulbasaur.png
ivysaur,grass,poison,overgrow,405,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.",https://img.pokemondb.net/sprites/black-white/normal/ivysaur.png,https://img.pokemondb.net/sprites/black-white/shiny/ivysaur.png,https://img.pokemondb.net/sprites/black-white/back-normal/ivysaur.png,https://img.pokemondb.net/sprites/black-white/back-shiny/ivysaur.png
venusaur,grass,poison,overgrow,525,The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.,https://img.pokemondb.net/sprites/black-white/normal/venusaur.png,https://img.pokemondb.net/sprites/black-white/shiny/venusaur.png,https://img.pokemondb.net/sprites/black-white/back-normal/venusaur.png,https://img.pokemondb.net/sprites/black-white/back-shiny/venusaur.png
charmander,fire,,blaze,309,"Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail.",https://img.pokemondb.net/sprites/black-white/normal/charmander.png,https://img.pokemondb.net/sprites/black-white/shiny/charmander.png,https://img.pokemondb.net/sprites/black-white/back-normal/charmander.png,https://img.pokemondb.net/sprites/black-white/back-shiny/charmander.png
charmeleon,fire,,blaze,405,"When it swings its burning tail, it elevates the temperature to unbearably high levels.",https://img.pokemondb.net/sprites/black-white/normal/charmeleon.png,https://img.pokemondb.net/sprites/black-white/shiny/charmeleon.png,https://img.pokemondb.net/sprites/black-white/back-normal/charmeleon.png,https://img.pokemondb.net/sprites/black-white/back-shiny/charmeleon.png
charizard,fire,flying,blaze,534,Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.,https://img.pokemondb.net/sprites/black-white/normal/charizard.png,https://img.pokemondb.net/sprites/black-white/shiny/charizard.png,https://img.pokemondb.net/sprites/black-white/back-normal/charizard.png,https://img.pokemondb.net/sprites/black-white/back-shiny/charizard.png
squirtle,water,,torrent,314,"After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth.",https://img.pokemondb.net/sprites/black-white/normal/squirtle.png,https://img.pokemondb.net/sprites/black-white/shiny/squirtle.png,https://img.pokemondb.net/sprites/black-white/back-normal/squirtle.png,https://img.pokemondb.net/sprites/black-white/back-shiny/squirtle.png
wartortle,water,,torrent,405,"Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance.",https://img.pokemondb.net/sprites/black-white/normal/wartortle.png,https://img.pokemondb.net/sprites/black-white/shiny/wartortle.png,https://img.pokemondb.net/sprites/black-white/back-normal/wartortle.png,https://img.pokemondb.net/sprites/black-white/back-shiny/wartortle.png
blastoise,water,,torrent,530,A brutal POKéMON with pressurized water jets on its shell. They are used for high speed tackles.,https://img.pokemondb.net/sprites/black-white/normal/blastoise.png,https://img.pokemondb.net/sprites/black-white/shiny/blastoise.png,https://img.pokemondb.net/sprites/black-white/back-normal/blastoise.png,https://img.pokemondb.net/sprites/black-white/back-shiny/blastoise.png
caterpie,bug,,shield-dust,195,Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.,https://img.pokemondb.net/sprites/black-white/normal/caterpie.png,https://img.pokemondb.net/sprites/black-white/shiny/caterpie.png,https://img.pokemondb.net/sprites/black-white/back-normal/caterpie.png,https://img.pokemondb.net/sprites/black-white/back-shiny/caterpie.png
metapod,bug,,shed-skin,205,"This POKéMON is vulnerable to attack while its shell is soft, exposing its weak and tender body.",https://img.pokemondb.net/sprites/black-white/normal/metapod.png,https://img.pokemondb.net/sprites/black-white/shiny/metapod.png,https://img.pokemondb.net/sprites/black-white/back-normal/metapod.png,https://img.pokemondb.net/sprites/black-white/back-shiny/metapod.png
butterfree,bug,flying,compound-eyes,395,"In battle, it flaps its wings at high speed to release highly toxic dust into the air.",https://img.pokemondb.net/sprites/black-white/normal/butterfree.png,https://img.pokemondb.net/sprites/black-white/shiny/butterfree.png,https://img.pokemondb.net/sprites/black-white/back-normal/butterfree.png,https://img.pokemondb.net/sprites/black-white/back-shiny/butterfree.png
weedle,bug,poison,shield-dust,195,"Often found in forests, eating leaves. It has a sharp venomous stinger on its head.",https://img.pokemondb.net/sprites/black-white/normal/weedle.png,https://img.pokemondb.net/sprites/black-white/shiny/weedle.png,https://img.pokemondb.net/sprites/black-white/back-normal/weedle.png,https://img.pokemondb.net/sprites/black-white/back-shiny/weedle.png
